Ros_table,IOTC_Master_table,target_table,target_column,target_column_new_name
ROS_analysis.FLAG_TO_FLEET,refs_admin.FLEET_TO_FLAGS_AND_FISHERIES,,,
ROS_references.cl_fishing_ground_types,refs_gis.AREA_TYPES,,,
Ros_references.CL_SCHOOL_TYPE_CATEGORIES,refs_fishery.SCHOOL_TYPE_CATEGORIES,,,
ROS_references.CL_FISH_STORAGE_TYPES,refs_fishery.FISH_STORAGE_TYPES,ros_common.vessel_attributes_fish_storage_type,fish_storage_type_id,fish_storage_type_code
ROS_references.CL_FLOAT_TYPES,refs_fishery.FLOAT_TYPES,ros_gn.gillnet_configuration,float_type_id,float_type_code
Ros_references.CL_GEAR_TYPES,refs_fishery_config.GEARS,ros_common.vessel_identification,main_fishing_gear_id,main_fishing_gear_code
Ros_references.CL_GILLNET_MATERIAL_TYPES,refs_fishery.GILLNET_MATERIAL_TYPES,ros_gn.gillnet_configuration,gillnet_material_type_id,gillnet_material_type_code
ROS_references.CL_ACTIVITIES,refs_biological.BAIT_CONDITIONS,ros_common.activity_details,activity_id,activity_code
ROS_references.CL_BAIT_CONDITIONS,refs_biological.BAIT_CONDITIONS,ros_ll.ll_additional_catch_details_on_ssi,bait_condition_id,bait_condition_code
ROS_references.CL_BAIT_CONDITIONS,refs_biological.BAIT_CONDITIONS,ros_pl.baits_and_conditions,bait_condition_id,bait_condition_code
ROS_references.CL_BAIT_CONDITIONS,refs_biological.BAIT_CONDITIONS,ros_ll.baits_by_conditions,bait_condition_id,bait_condition_code
ROS_references.CL_BAIT_FISHING_METHODS,refs_fishery.BAIT_FISHING_METHODS,ros_pl.bait_fishing_operations,bait_fishing_method_id,bait_fishing_method_code
ROS_references.CL_BAIT_SCHOOL_DETECTION_METHODS,refs_fishery.BAIT_SCHOOL_DETECTION_METHODS,ros_pl.bait_fishing_operations,bait_school_detection_method_id,bait_school_detection_method_code
ROS_references.CL_BIO_COLLECTION_SAMPLING_METHODS,refs_biological.SAMPLING_METHODS_FOR_SAMPLING_COLLECTIONS,ros_common.biometric_information,bio_collection_sampling_method_id,bio_collection_sampling_method_code
Ros_references.CL_CATCH_ESTIMATES_SAMPLING_METHODS,refs_biological.SAMPLING_METHODS_FOR_CATCH_ESTIMATION,ros_pl.pl_catch_details,estimated_weight_sampling_method_id,estimated_weight_sampling_method_code
Ros_references.CL_CATCH_ESTIMATES_SAMPLING_METHODS,refs_biological.SAMPLING_METHODS_FOR_CATCH_ESTIMATION,ros_ll.ll_catch_details,estimated_weight_sampling_method_id,estimated_weight_sampling_method_code
Ros_references.CL_CATCH_ESTIMATES_SAMPLING_METHODS,refs_biological.SAMPLING_METHODS_FOR_CATCH_ESTIMATION,ros_gn.gn_catch_details,estimated_weight_sampling_method_id,estimated_weight_sampling_method_code
Ros_references.CL_CATCH_ESTIMATES_SAMPLING_METHODS,refs_biological.SAMPLING_METHODS_FOR_CATCH_ESTIMATION,ros_ps.ps_catch_details,estimated_weight_sampling_method_id,estimated_weight_sampling_method_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_references.cl_ports,country_id,country_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_meta.ros_observers_2_flags,flag_id,flag_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_meta.ros_observers,nationality_id,nationality_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_gn.gn_observer_data,reporting_country_id,reporting_country_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.person_details,nationality_id,nationality_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.carrier_vessel_identification,vessel_flag_id,vessel_flag_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.iotc_person_details,nationality_id,nationality_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.observer_identification,nationality_id,nationality_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.observer_identification,flag_id,flag_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.person_contact_details,nationality_id,nationality_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_ps.ps_observer_data,reporting_country_id,reporting_country_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.iotc_person_contact_details,nationality_id,nationality_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.vessel_identification,flag_id,flag_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_common.locations,country_id,country_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_ll.ll_observer_data,reporting_country_id,reporting_country_code
ROS_references.CL_COUNTRIES,refs_admin.COUNTRIES,ros_pl.pl_observer_data,reporting_country_id,reporting_country_code
ROS_references.CL_DEHOOKER_DEVICES,refs_fishery.DEHOOKER_TYPES,ros_ll.ll_additional_catch_details_on_ssi,dehooker_device_id,dehooker_device_code
ROS_references.CL_DISPOSAL_METHODS,refs_fishery.WASTE_DISPOSAL_METHODS,ros_common.waste_managements,waste_storage_or_disposal_method_id,waste_storage_or_disposal_method_code
ROS_references.CL_FAD_RAFT_DESIGNS,refs_fishery.FAD_RAFT_DESIGNS,ros_ps.ps_object_details,fad_raft_design_id,fad_raft_design_code
ROS_references.CL_FAD_TAIL_DESIGNS,refs_fishery.FAD_TAIL_DESIGNS,ros_ps.ps_object_details,fad_tail_design_id,fad_tail_design_code
Ros_references.CL_HULL_MATERIALS,refs_fishery.HULL_MATERIAL_TYPES,ros_common.vessel_attributes,hull_material_id,hull_material_code
Ros_references.CL_FATES,refs_biological.FATES,ros_ll.ll_catch_details,fates_id,fates_code
Ros_references.CL_FATES,refs_biological.FATES,ros_ps.ps_catch_details,fates_id,fates_code
Ros_references.CL_FATES,refs_biological.FATES,ros_pl.pl_catch_details,fates_id,fates_code
Ros_references.CL_FATES,refs_biological.FATES,ros_gn.gn_catch_details,fates_id,fates_code
ROS_references.CL_FISH_PRESERVATION_METHODS,refs_fishery.FISH_PRESERVATION_METHODS,ros_common.vessel_attributes_fish_preservation_method,fish_preservation_method_id,fish_preservation_method_code
ROS_references.CL_GEAR_INTERACTIONS,refs_biological.GEAR_INTERACTIONS,ros_gn.gn_additional_catch_details_on_ssi,gear_interaction_id,gear_interaction_code
ROS_references.CL_GEAR_INTERACTIONS,refs_biological.GEAR_INTERACTIONS,ros_pl.pl_additional_catch_details_on_ssi,gear_interaction_id,gear_interaction_code
ROS_references.CL_GEAR_INTERACTIONS,refs_biological.GEAR_INTERACTIONS,ros_ll.ll_additional_catch_details_on_ssi,gear_interaction_id,gear_interaction_code
ROS_references.CL_GEAR_INTERACTIONS,refs_biological.GEAR_INTERACTIONS,ros_ps.ps_additional_catch_details_on_ssi,gear_interaction_id,gear_interaction_code
ROS_references.CL_HANDLING_METHODS,refs_biological.HANDLING_METHODS,ros_gn.gn_additional_catch_details_on_ssi,handling_method_id,handling_method_code
ROS_references.CL_HANDLING_METHODS,refs_biological.HANDLING_METHODS,ros_pl.pl_additional_catch_details_on_ssi,handling_method_id,handling_method_code
ROS_references.CL_HANDLING_METHODS,refs_biological.HANDLING_METHODS,ros_ll.ll_additional_catch_details_on_ssi,handling_method_id,handling_method_code
ROS_references.CL_HANDLING_METHODS,refs_biological.HANDLING_METHODS,ros_ps.ps_additional_catch_details_on_ssi,handling_method_id,handling_method_code
Ros_references.CL_HOOKS,refs_fishery.HOOK_TYPES,ros_pl.pl_general_gear_attributes,hook_type_id,hook_type_code
ROS_references.CL_HOOKS,refs_fishery.HOOK_TYPES,ros_pl.lures_or_jiggers_by_type,hook_type_id,hook_type_code
ROS_references.CL_HOOKS,refs_fishery.HOOK_TYPES,ros_ll.hooks_by_type,hook_type_id,hook_type_code
ROS_references.CL_HULL_MATERIALS,refs_fishery.HULL_MATERIAL_TYPES,ros_common.lures_or_jiggers_by_type,hull_material_id,hull_material_code
ROS_references.CL_INCIDENTAL_CAPTURES_CONDITIONS,refs_biological.INCIDENTAL_CAPTURES_CONDITIONS,ros_common.additional_details_on_non_target_species,condition_at_capture_id,condition_at_capture_code
