schema,table,description
refs_admin,countries,
refs_admin,cpc_history,
refs_admin,cpc_to_flags,
refs_admin,cpcs,
refs_admin,entities,
refs_admin,fleet_to_flags_and_fisheries,
refs_admin,fleets,
refs_admin,io_main_areas,
refs_admin,ports,
refs_admin,species_reporting_requirements,
refs_biology,bait_conditions,
refs_biology,bait_types,
refs_biology,biological_materials,
refs_biology,depredation_sources,
refs_biology,fates,
refs_biology,fish_status,
refs_biology,gear_interactions,
refs_biology,handling_methods,
refs_biology,incidental_captures_conditions,
refs_biology,individual_conditions,
refs_biology,maturity_stages,
refs_biology,measurement_tools,
refs_biology,measurements,
refs_biology,recommended_measurements,
refs_biology,sample_preservation_methods,
refs_biology,sampling_methods_for_catch_estimation,
refs_biology,sampling_methods_for_sampling_collections,
refs_biology,sampling_periods,
refs_biology,sampling_protocols,
refs_biology,scars,
refs_biology,sex,
refs_biology,species,
refs_biology,species_aggregates,
refs_biology,species_categories,
refs_biology,species_groups,
refs_biology,tag_types,
refs_biology,types_of_fate,
refs_biology,types_of_measurement,
refs_data,coverage_types,Code list defining the denominator type used for calculating sampling coverage in biological and observer sampling programmes
refs_data,datasets,"Code list defining the types of datasets held by the IOTC Secretariat, with both short labels and descriptive metadata in English and French"
refs_data,estimations,
refs_data,logical_responses,
refs_data,processings,"Code list defining the processing method applied to data reported to IOTC, including catch and effort (CE/DA), discards (DI), fishing crafts (FC), retained catches (RC), and fish length/weight samples (SF). Each record describes the type of processing and estimation method."
refs_data,raisings,
refs_data,sources,"Code list defining the source of data for catch, effort, discards, fishing crafts, retained catches, regional observer data, and fish length/weight samples. Each record describes the type of source and its monitoring method."
refs_data,types,
refs_fishery,bait_fishing_methods,"
[EN]
Reference code list describing the methods used to capture live bait for fishing operations.

[FR]
Liste de référence décrivant les méthodes utilisées pour capturer des appâts vivants destinés aux opérations de pêche.
"
refs_fishery,bait_school_detection_methods,
refs_fishery,branchline_storages,"
[EN]
Reference code list describing the storage methods used for branch lines on fishing vessels.

[FR]
Liste de référence décrivant les méthodes de stockage des avançons à bord des navires de pêche.
"
refs_fishery,buoy_activity_types,
refs_fishery,buoy_models,
refs_fishery,cardinal_points,
refs_fishery,catch_units,
refs_fishery,dehooker_types,"
[EN]
Reference code list describing the types of dehooking and line-cutting devices used to remove hooks or release incidentally captured animals.

[FR]
Liste de référence décrivant les types d’outils de décrochage et de coupe utilisés pour retirer les hameçons ou libérer les captures accidentelles.
"
refs_fishery,dfad_biodegradability_categories,
refs_fishery,effort_units,
refs_fishery,fad_raft_designs,
refs_fishery,fad_tail_designs,
refs_fishery,fish_preservation_methods,
refs_fishery,fish_processing_types,
refs_fishery,fish_storage_types,"
[EN]
Reference code list describing the storage facilities or systems used onboard vessels to preserve and store fish catches.

[FR]
Liste de référence décrivant les installations ou systèmes de stockage utilisés à bord des navires pour conserver et entreposer les captures.
"
refs_fishery,fisheries,"
[EN]
Reference code list describing IOTC fisheries defined by combinations of operational, technical and biological characteristics that distinguish fishing practices among groups of vessels.

[FR]
Liste de référence décrivant les pêcheries de la CTOI définies par des combinaisons de caractéristiques opérationnelles, techniques et biologiques permettant de distinguer les pratiques de pêche entre groupes de navires.
"
refs_fishery,float_types,"
[EN]
Reference code list describing the materials or flotation devices used to provide buoyancy in fishing gear and fish aggregating devices.

[FR]
Liste de référence décrivant les matériaux ou dispositifs de flottabilité utilisés pour assurer la flottabilité des engins de pêche et des dispositifs de concentration de poissons.
"
refs_fishery,fob_activity_types,
refs_fishery,fob_types,
refs_fishery,gear_types_deprecated,
