schema,table,column,type,mandatory,description
refs_admin,countries,code,character(3),YES,
refs_admin,countries,code_iso2,character(2),YES,
refs_admin,countries,code_iso3,character(3),YES,
refs_admin,countries,nocs_category,character varying(255),YES,
refs_admin,countries,name_en,character varying(255),YES,
refs_admin,countries,name_fr,character varying(255),YES,
refs_admin,countries,description_en,character varying(4096),YES,
refs_admin,countries,description_fr,character varying(4096),YES,
refs_admin,cpc_history,cpc_code,character varying(4),YES,
refs_admin,cpc_history,contracting_party,smallint,YES,
refs_admin,cpc_history,acceptance_date,date,YES,
refs_admin,cpc_history,withdrawal_date,date,NO,
refs_admin,cpc_to_flags,cpc_code,character varying(4),YES,
refs_admin,cpc_to_flags,flag_code,character(3),YES,
refs_admin,cpcs,code,character varying(4),YES,
refs_admin,cpcs,name_en,character varying(255),YES,
refs_admin,cpcs,name_fr,character varying(255),YES,
refs_admin,cpcs,is_coastal,smallint,YES,
refs_admin,cpcs,is_sids,smallint,YES,
refs_admin,entities,code,character varying(4),YES,
refs_admin,entities,code_iso2,character(2),NO,
refs_admin,entities,code_iso3,character(3),NO,
refs_admin,entities,nocs_category,character varying(255),YES,
refs_admin,entities,name_en,character varying(255),YES,
refs_admin,entities,name_fr,character varying(255),YES,
refs_admin,entities,description_en,character varying(4096),YES,
refs_admin,entities,description_fr,character varying(4096),YES,
refs_admin,fleet_to_flags_and_fisheries,fleet_code,character varying(7),YES,
refs_admin,fleet_to_flags_and_fisheries,reporting_entity_code,character varying(4),YES,
refs_admin,fleet_to_flags_and_fisheries,flag_code,character varying(4),YES,
refs_admin,fleet_to_flags_and_fisheries,iotc_main_area_code,character varying(32),NO,
refs_admin,fleet_to_flags_and_fisheries,fishery_type_code,character(2),NO,
refs_admin,fleet_to_flags_and_fisheries,gear_category_code,character(2),NO,
refs_admin,fleet_to_flags_and_fisheries,gear_code,character varying(16),NO,
refs_admin,fleet_to_flags_and_fisheries,gear_configuration_code,character(2),NO,
refs_admin,fleet_to_flags_and_fisheries,fishing_mode_code,character(2),NO,
refs_admin,fleet_to_flags_and_fisheries,target_species_code,character(2),NO,
refs_admin,fleet_to_flags_and_fisheries,from_year,integer,NO,
refs_admin,fleet_to_flags_and_fisheries,to_year,integer,NO,
refs_admin,fleet_to_flags_and_fisheries,id,bigint,YES,
refs_admin,fleets,code,character varying(7),YES,
refs_admin,fleets,name_en,character varying(100),YES,
refs_admin,fleets,name_fr,character varying(100),YES,
refs_admin,fleets,cpc_code,character varying(4),NO,
refs_admin,fleets,description_fr,character varying(4096),YES,
refs_admin,fleets,description_en,character varying(4096),YES,
refs_admin,io_main_areas,code,character(7),YES,
refs_admin,io_main_areas,name_en,character varying(255),YES,
refs_admin,io_main_areas,name_fr,character varying(255),YES,
refs_admin,io_main_areas,ocean_area_km2,double precision,YES,
refs_admin,io_main_areas,center_lat,double precision,YES,
refs_admin,io_main_areas,center_lon,double precision,YES,
refs_admin,io_main_areas,description_fr,character varying(4096),YES,
refs_admin,io_main_areas,description_en,character varying(4096),YES,
refs_admin,ports,code,character varying(16),YES,
refs_admin,ports,country_code,character varying(16),YES,
refs_admin,ports,name_en,character varying(255),YES,
refs_admin,ports,name_fr,character varying(255),NO,
refs_admin,ports,lat,double precision,NO,
refs_admin,ports,lon,double precision,NO,
refs_admin,ports,point,geography,NO,
refs_admin,species_reporting_requirements,gear_group_code,character(2),YES,
refs_admin,species_reporting_requirements,species_code,character varying(16),YES,
refs_admin,species_reporting_requirements,rav_retention_ban,smallint,YES,
refs_biology,bait_conditions,code,character(2),YES,
refs_biology,bait_conditions,code_orig,character(3),YES,
refs_biology,bait_conditions,name_en,character varying(255),YES,
refs_biology,bait_conditions,name_fr,character varying(255),YES,
refs_biology,bait_types,code,character(2),YES,
refs_biology,bait_types,code_orig,character(3),YES,
refs_biology,bait_types,name_en,character varying(255),YES,
refs_biology,bait_types,name_fr,character varying(255),YES,
refs_biology,biological_materials,code,character varying(10),YES,
refs_biology,biological_materials,name_en,character varying(100),YES,
refs_biology,biological_materials,name_fr,character varying(100),YES,
refs_biology,depredation_sources,code,character(2),YES,
refs_biology,depredation_sources,name_en,character varying(255),YES,
refs_biology,depredation_sources,name_fr,character varying(255),YES,
refs_biology,fates,type_of_fate_code,character(2),YES,
refs_biology,fates,code,character(2),YES,
refs_biology,fates,name_en,character varying(255),YES,
refs_biology,fates,name_fr,character varying(255),YES,
refs_biology,fates,description_fr,character varying(4096),YES,
refs_biology,fates,description_en,character varying(4096),YES,
refs_biology,fates,code_orig,character(3),YES,
refs_biology,fish_status,code,character varying(3),YES,
refs_biology,fish_status,name_en,character varying(255),YES,
refs_biology,fish_status,name_fr,character varying(255),YES,
refs_biology,fish_status,description_en,character varying(255),YES,
refs_biology,fish_status,description_fr,character varying(255),YES,
refs_biology,gear_interactions,code,character(2),YES,
refs_biology,gear_interactions,name_en,character varying(255),YES,
refs_biology,gear_interactions,name_fr,character varying(255),YES,
refs_biology,gear_interactions,description_en,character varying(4096),YES,
refs_biology,gear_interactions,description_fr,character varying(4096),YES,
refs_biology,handling_methods,code,character(2),YES,
refs_biology,handling_methods,code_orig,character(2),YES,
refs_biology,handling_methods,name_en,character varying(255),YES,
refs_biology,handling_methods,name_fr,character varying(255),YES,
refs_biology,handling_methods,description_en,character varying(4096),YES,
refs_biology,handling_methods,description_fr,character varying(4096),YES,
refs_biology,incidental_captures_conditions,code,character varying(3),YES,
refs_biology,incidental_captures_conditions,name_en,character varying(512),YES,
refs_biology,incidental_captures_conditions,name_fr,character varying(512),YES,
refs_biology,incidental_captures_conditions,description_en,character varying(4096),YES,
refs_biology,incidental_captures_conditions,description_fr,character varying(4096),YES,
refs_biology,individual_conditions,code,character(2),YES,
refs_biology,individual_conditions,name_en,character varying(255),YES,
refs_biology,individual_conditions,name_fr,character varying(255),YES,
refs_biology,individual_conditions,is_alive,smallint,YES,
refs_biology,individual_conditions,description_en,character varying(4096),YES,
refs_biology,individual_conditions,description_fr,character varying(4096),YES,
refs_biology,maturity_stages,code,character varying(4),YES,
refs_biology,maturity_stages,name_en,character varying(100),YES,
refs_biology,maturity_stages,name_fr,character varying(100),YES,
refs_biology,maturity_stages,description_male_en,character varying(255),YES,
refs_biology,maturity_stages,description_male_fr,character varying(255),YES,
refs_biology,maturity_stages,description_female_en,character varying(255),YES,
refs_biology,maturity_stages,description_female_fr,character varying(300),YES,
refs_biology,measurement_tools,type_of_measurement_code,character(2),YES,
refs_biology,measurement_tools,code,character(2),YES,
refs_biology,measurement_tools,name_en,character varying(255),YES,
refs_biology,measurement_tools,name_fr,character varying(255),YES,
refs_biology,measurement_tools,description_en,character varying(4096),YES,
refs_biology,measurement_tools,description_fr,character varying(4096),YES,
refs_biology,measurements,type_of_measurement_code,character(2),YES,
refs_biology,measurements,code,character(2),YES,
refs_biology,measurements,name_en,character varying(255),YES,
refs_biology,measurements,description_en,character varying(255),YES,
refs_biology,measurements,name_fr,character varying(255),YES,
refs_biology,measurements,description_fr,character varying(255),YES,
refs_biology,measurements,code_orig,character(3),YES,
refs_biology,recommended_measurements,species_code,character varying(16),YES,
refs_biology,recommended_measurements,type_of_measurement_code,character(2),YES,
refs_biology,recommended_measurements,measurement_code,character(2),YES,
refs_biology,recommended_measurements,default_measurement_interval,smallint,YES,
refs_biology,recommended_measurements,max_measurement_interval,smallint,YES,
refs_biology,recommended_measurements,min_measurement,smallint,YES,
refs_biology,recommended_measurements,max_measurement,smallint,YES,
refs_biology,sample_preservation_methods,code,character varying(4),YES,
refs_biology,sample_preservation_methods,name_en,character varying(100),YES,
refs_biology,sample_preservation_methods,name_fr,character varying(100),YES,
refs_biology,sample_preservation_methods,description_en,character varying(255),YES,
refs_biology,sample_preservation_methods,description_fr,character varying(255),YES,
refs_biology,sampling_methods_for_catch_estimation,code,character(2),YES,
refs_biology,sampling_methods_for_catch_estimation,code_orig,character(3),YES,
refs_biology,sampling_methods_for_catch_estimation,name_en,character varying(255),YES,
refs_biology,sampling_methods_for_catch_estimation,name_fr,character varying(255),YES,
refs_biology,sampling_methods_for_catch_estimation,description_en,character varying(4096),YES,
refs_biology,sampling_methods_for_catch_estimation,description_fr,character varying(4096),YES,
refs_biology,sampling_methods_for_sampling_collections,code,character(2),YES,
refs_biology,sampling_methods_for_sampling_collections,code_orig,character(3),YES,
refs_biology,sampling_methods_for_sampling_collections,name_en,character varying(255),YES,
refs_biology,sampling_methods_for_sampling_collections,name_fr,character varying(255),YES,
refs_biology,sampling_methods_for_sampling_collections,description_en,character varying(4096),YES,
refs_biology,sampling_methods_for_sampling_collections,description_fr,character varying(4096),YES,
refs_biology,sampling_periods,code,character(2),YES,
refs_biology,sampling_periods,name_en,character varying(255),YES,
refs_biology,sampling_periods,name_fr,character varying(255),YES,
refs_biology,sampling_protocols,code,character(2),YES,
refs_biology,sampling_protocols,code_orig,character varying(3),YES,
refs_biology,sampling_protocols,name_en,character varying(255),YES,
refs_biology,sampling_protocols,name_fr,character varying(255),YES,
refs_biology,sampling_protocols,description_en,character varying(4096),YES,
refs_biology,sampling_protocols,description_fr,character varying(4096),YES,
refs_biology,scars,code,character varying(3),YES,
refs_biology,scars,name_en,character varying(512),YES,
refs_biology,scars,name_fr,character varying(512),YES,
refs_biology,scars,description_en,character varying(4096),YES,
refs_biology,scars,description_fr,character varying(4096),YES,
refs_biology,sex,code,character(1),YES,
refs_biology,sex,name_en,character varying(255),YES,
refs_biology,sex,name_fr,character varying(255),YES,
refs_biology,sex,is_determined,smallint,YES,
refs_biology,sex,code_orig,character(3),YES,
refs_biology,species,code,character varying(16),YES,
refs_biology,species,name_en,character varying(255),NO,
refs_biology,species,name_fr,character varying(255),NO,
refs_biology,species,name_scientific,character varying(255),NO,
refs_biology,species,species_group_code,character varying(16),YES,
refs_biology,species,species_category_code,character varying(16),YES,
refs_biology,species,species_family,character varying(64),NO,
refs_biology,species,species_order,character varying(64),NO,
refs_biology,species,is_iotc,smallint,YES,
refs_biology,species,is_target,smallint,NO,
refs_biology,species,is_ssi,smallint,YES,
refs_biology,species,is_predator,smallint,NO,
refs_biology,species,is_bait,smallint,YES,
refs_biology,species,is_aggregate,smallint,YES,
refs_biology,species,is_asfis,smallint,NO,
refs_biology,species_aggregates,species_aggregate_code,character varying(16),YES,
refs_biology,species_aggregates,species_code,character varying(16),YES,
refs_biology,species_categories,code,character varying(16),YES,
refs_biology,species_categories,name_en,character varying(255),YES,
refs_biology,species_categories,name_fr,character varying(255),YES,
refs_biology,species_groups,code,character varying(16),YES,
refs_biology,species_groups,name_en,character varying(255),YES,
