schema,table,primary_key_columns
refs_admin,countries,code
refs_admin,cpc_history,cpc_code|contracting_party|acceptance_date
refs_admin,cpc_to_flags,cpc_code|flag_code
refs_admin,cpcs,code
refs_admin,entities,code
refs_admin,fleets,code
refs_admin,io_main_areas,code
refs_admin,ports,id
refs_admin,species_reporting_requirements,gear_group_code|species_code
refs_biology,bait_conditions,code
refs_biology,bait_types,code
refs_biology,biological_materials,code
refs_biology,depredation_sources,code
refs_biology,fates,type_of_fate_code|code
refs_biology,fish_status,code
refs_biology,gear_interactions,code
refs_biology,handling_methods,code
refs_biology,incidental_captures_conditions,code
refs_biology,individual_conditions,code
refs_biology,maturity_stages,code
refs_biology,measurement_tools,type_of_measurement_code|code
refs_biology,measurements,type_of_measurement_code|code
refs_biology,recommended_measurements,species_code|type_of_measurement_code|measurement_code
refs_biology,sample_preservation_methods,code
refs_biology,sampling_methods_for_catch_estimation,code
refs_biology,sampling_methods_for_sampling_collections,code
refs_biology,sampling_periods,code
refs_biology,sampling_protocols,code
refs_biology,scars,code
refs_biology,sex,code
refs_biology,species,code
refs_biology,species_aggregates,species_aggregate_code|species_code
refs_biology,species_categories,code
refs_biology,species_groups,code
refs_biology,tag_types,code
refs_biology,types_of_fate,code
refs_biology,types_of_measurement,code
refs_data,coverage_types,code
refs_data,datasets,code
refs_data,estimations,code
refs_data,logical_responses,code
refs_data,processings,dataset_code|code
refs_data,raisings,code
refs_data,sources,dataset_code|code
refs_data,types,code
refs_fishery,bait_fishing_methods,code
refs_fishery,bait_school_detection_methods,code
refs_fishery,branchline_storages,code
refs_fishery,buoy_activity_types,code
refs_fishery,buoy_models,code
refs_fishery,cardinal_points,code
refs_fishery,catch_units,code
refs_fishery,dehooker_types,code
refs_fishery,dfad_biodegradability_categories,code
refs_fishery,effort_units,code
refs_fishery,fad_raft_designs,code
refs_fishery,fad_tail_designs,code
refs_fishery,fish_preservation_methods,code
refs_fishery,fish_processing_types,code
refs_fishery,fish_storage_types,code
refs_fishery,fisheries,code
refs_fishery,float_types,code
refs_fishery,fob_activity_types,code
refs_fishery,fob_types,code
refs_fishery,gear_types_deprecated,code
refs_fishery,hook_and_terminal_devices,code
refs_fishery,hull_material_types,code
refs_fishery,light_colours,code
refs_fishery,light_types,code
refs_fishery,line_material_types,code
refs_fishery,mechanisation_types,code
refs_fishery,mitigation_devices,code
refs_fishery,net_colours,code
refs_fishery,net_conditions,code
refs_fishery,net_configurations,code
refs_fishery,net_deploy_depths,code
refs_fishery,net_material_types,code
refs_fishery,net_setting_strategies,code
refs_fishery,offal_management_types,code
refs_fishery,pole_material_types,code
refs_fishery,reasons_days_lost,code
refs_fishery,school_detection_methods,code
refs_fishery,school_sighting_cues,code
refs_fishery,school_type_categories,code
refs_fishery,sinker_material_types,code
refs_fishery,streamer_types,code
refs_fishery,stunning_methods,code
refs_fishery,surface_fishery_activities,code
refs_fishery,transhipment_categories,code
refs_fishery,vessel_architectures,code
refs_fishery,vessel_measurement_types,code
refs_fishery,vessel_sections,code
refs_fishery,vessel_types,code
refs_fishery,waste_categories,code
refs_fishery,waste_disposal_methods,code
refs_fishery,wind_scales,code
refs_fishery_config,areas_of_operation,code
refs_fishery_config,fishery_categories,code
refs_fishery_config,fishery_purposes,code
refs_fishery_config,fishery_types,code
refs_fishery_config,fishing_modes,code
refs_fishery_config,gear_configurations,code
refs_fishery_config,gear_fishery_type_to_configuration,gear_code|fishery_type_code|gear_configuration_code
refs_fishery_config,gear_fishery_type_to_fishing_mode,gear_code|fishery_type_code|fishing_mode_code
refs_fishery_config,gear_groups,code
refs_fishery_config,gear_to_fishery_type,gear_code|fishery_type_code
refs_fishery_config,gear_to_target_species,gear_code|target_species_code
refs_fishery_config,gears,code
refs_fishery_config,loa_classes,code
refs_fishery_config,target_species,code
refs_gis,area_intersections,source_code|target_code
refs_gis,area_types,code
refs_gis,areas,code
refs_legacy,areas,code
refs_legacy,boat_size_class,code
refs_legacy,condition_types,code
refs_legacy,effort_units,code
refs_legacy,fad_activity_types,code
refs_legacy,fad_ownerships,code
refs_legacy,fad_types,code
refs_legacy,fate_types,code
refs_legacy,fisheries,code
refs_legacy,fishery_groups,code
refs_legacy,fishery_types,code
refs_legacy,fishing_grounds,code
refs_legacy,fleets,code
refs_legacy,gear_types,gear_code|country_code|gear_type_code
refs_legacy,gears,code
refs_legacy,isscfg_gear_groups,code
refs_legacy,isscfg_gears,code
refs_legacy,iucn_status,code
refs_legacy,measurement_types,code
refs_legacy,nocs_codes,id
refs_legacy,nocs_names_en,id
refs_legacy,nocs_names_fr,id
refs_legacy,species_categories,code
refs_legacy,species_groups,code
refs_legacy,species_to_grsf,species_code
refs_legacy,un_locode_ports,code
refs_legacy,working_parties,code
refs_meta,codelists_versions,cl_schema|cl_name
refs_socio_economics,currencies,code
refs_socio_economics,destination_markets,code
refs_socio_economics,pricing_locations,code
refs_socio_economics,product_types,code
