schema,table,comment
ros_meta,contact,
ros_meta,focal_point,
ros_meta,observer,
ros_meta,observer_accreditation,
ros_meta,observer_identifier_mapping,
ros_meta,vessel,
ros_meta,vessel_licensed_target_species,
ros_common,additional_details_on_non_target_species,
ros_common,biometric_information,
ros_common,depredation_details,
ros_common,observer_data,Entry point of any data
ros_common,trip,
ros_common,trip_daily_activities,
ros_common,trip_daily_activity_details,
ros_common,trip_observer,
ros_common,trip_reasons_for_days_lost,
ros_common,trip_vessel,
ros_common,trip_vessel_fish_preservation_method,
ros_common,trip_vessel_fish_storage_type,
ros_common,trip_vessel_main_engines,
ros_common,trip_waste_managements,
ros_gn,additional_catch_details_on_ssi,
ros_gn,catch_details,
ros_gn,fishing_events,
ros_gn,gear_specifications,
ros_gn,gillnet_configuration,
ros_gn,gillnet_configuration_net_web_colours,
ros_gn,gillnet_configuration_stretched_mesh_sizes,
ros_gn,hauling_operations,
ros_gn,mitigation_measures,
ros_gn,mitigation_measures_mitigation_devices,
ros_gn,setting_operations,
ros_gn,sinkers_by_type,
ros_gn,specimens,
ros_gn,tag_details,
