schema,table,comment
ros_meta,contact,
ros_meta,focal_point,
ros_meta,observer,
ros_meta,observer_accreditation,
ros_meta,observer_identifier_mapping,
ros_meta,vessel,
ros_meta,vessel_licensed_target_species,
ros_common,additional_details_on_non_target_species,
ros_common,biometric_information,
ros_common,depredation_details,
ros_common,observer_data,Entry point of any data
ros_common,trip,
ros_common,trip_daily_activities,
ros_common,trip_daily_activity_details,
ros_common,trip_observer,
ros_common,trip_reasons_for_days_lost,
ros_common,trip_vessel,
ros_common,trip_vessel_fish_preservation_method,
ros_common,trip_vessel_fish_storage_type,
ros_common,trip_vessel_main_engines,
ros_common,trip_waste_managements,
ros_ll,additional_catch_details_on_ssi,
ros_ll,baits_by_conditions,
ros_ll,biteoffs_by_branchlines_set,
ros_ll,branchline_configurations,
ros_ll,branchline_configurations_storage,
ros_ll,branchline_sections,
ros_ll,branchlines_set,
ros_ll,catch_details,
ros_ll,fishing_events,
ros_ll,floatlines,
ros_ll,gear_specifications,
ros_ll,gear_specifications_mitigation_device,
ros_ll,hauling_offal_disposal_positions,
ros_ll,hauling_operations,
ros_ll,hooks_by_type,
ros_ll,leader_set,
ros_ll,lights_by_type_and_colour,
ros_ll,mitigation_measures,
ros_ll,mitigation_measures_mitigation_devices,
ros_ll,setting_operations,
ros_ll,setting_operations_target_species,
ros_ll,specimens,
ros_ll,tag_details,
ros_ll,tori_line_details,
