schema,table,description
ros_meta,contact,
ros_meta,focal_point,
ros_meta,observer,
ros_meta,observer_accreditation,
ros_meta,observer_identifier_mapping,
ros_meta,vessel,
ros_meta,vessel_licensed_target_species,
ros_common,additional_details_on_non_target_species,
ros_common,biometric_information,
ros_common,depredation_details,
ros_common,observation_dataset,Entry point of any data
ros_common,trip,
ros_common,trip_daily_activities,
ros_common,trip_daily_activity_details,
ros_common,trip_observer,
ros_common,trip_reasons_for_days_lost,
ros_common,trip_vessel,
ros_common,trip_vessel_fish_preservation_method,
ros_common,trip_vessel_fish_storage_type,
ros_common,trip_vessel_main_engines,
ros_common,trip_waste_managements,
ros_ps,additional_catch_details_on_ssi,
ros_ps,catch_details,
ros_ps,cetaceans_whale_shark_sightings,
ros_ps,fishing_events,
ros_ps,gear_specifications,
ros_ps,object_details,
ros_ps,setting_operations,
ros_ps,setting_operations_cl_school_sighting_cues,
ros_ps,specimens,
ros_ps,tag_details,
ros_ll,additional_catch_details_on_ssi,
ros_ll,baits_by_conditions,
ros_ll,biteoffs_by_branchlines_set,
ros_ll,branchline_configurations,
ros_ll,branchline_configurations_storage,
ros_ll,branchline_sections,
ros_ll,branchlines_set,
ros_ll,catch_details,
ros_ll,fishing_events,
ros_ll,floatlines,
ros_ll,gear_specifications,
ros_ll,gear_specifications_mitigation_device,
ros_ll,hauling_offal_disposal_positions,
ros_ll,hauling_operations,
ros_ll,hooks_by_type,
ros_ll,leader_set,
ros_ll,lights_by_type_and_colour,
ros_ll,mitigation_measures,
ros_ll,mitigation_measures_mitigation_devices,
ros_ll,setting_operations,
ros_ll,setting_operations_target_species,
ros_ll,specimens,
ros_ll,tag_details,
ros_ll,tori_line_details,
ros_pl,additional_catch_details_on_ssi,
ros_pl,bait_fishing_event_pl_catch_detail,
ros_pl,bait_fishing_events,
ros_pl,bait_fishing_operations,
ros_pl,baits_and_conditions,
ros_pl,catch_details,
ros_pl,gear_specifications,
ros_pl,lures_or_jiggers_by_type,
ros_pl,object_details,
ros_pl,specimens,
ros_pl,tag_details,
ros_pl,tuna_fishing_event_pl_catch_detail,
ros_pl,tuna_fishing_events,
ros_pl,tuna_fishing_operations,
ros_pl,tuna_fishing_operations_cl_school_sighting_cues,
ros_pl,tuna_fishing_operations_target_species,
ros_gn,additional_catch_details_on_ssi,
ros_gn,catch_details,
ros_gn,fishing_events,
ros_gn,gear_specifications,
ros_gn,gillnet_configuration,
ros_gn,gillnet_configuration_net_web_colours,
ros_gn,gillnet_configuration_stretched_mesh_sizes,
ros_gn,hauling_operations,
ros_gn,mitigation_measures,
ros_gn,mitigation_measures_mitigation_devices,
ros_gn,setting_operations,
ros_gn,sinkers_by_type,
ros_gn,specimens,
ros_gn,tag_details,
refs_admin,contact_role,
refs_admin,countries,
refs_admin,cpc_history,
refs_admin,cpc_to_flags,
refs_admin,cpcs,
refs_admin,entities,
refs_admin,fleet_to_flags_and_fisheries,
refs_admin,fleets,
refs_admin,io_main_areas,
refs_admin,ports,
refs_admin,species_reporting_requirements,
refs_biology,bait_conditions,
refs_biology,bait_types,
refs_biology,depredation_sources,
refs_biology,fates,
refs_biology,gear_interactions,
refs_biology,handling_methods,
refs_biology,incidental_captures_conditions,
refs_biology,individual_conditions,
refs_biology,measurement_tools,
refs_biology,measurements,
refs_biology,sampling_methods_for_catch_estimation,
refs_biology,sampling_methods_for_sampling_collections,
refs_biology,sampling_periods,
refs_biology,sampling_protocols,
refs_biology,scars,
refs_biology,sex,
refs_biology,species,
refs_biology,species_aggregates,
refs_biology,species_categories,
refs_biology,species_groups,
refs_biology,tag_types,
refs_biology,types_of_fate,
refs_biology,types_of_measurement,
refs_data,coverage_types,
refs_data,datasets,
refs_data,estimations,
refs_data,processings,
refs_data,raisings,
refs_data,sources,
refs_data,types,
refs_fishery,activities,
refs_fishery,bait_fishing_methods,
refs_fishery,bait_school_detection_methods,
refs_fishery,branchline_storages,
refs_fishery,buoy_activity_types,
refs_fishery,cardinal_points,
refs_fishery,catch_units,
refs_fishery,dehooker_types,
refs_fishery,effort_units,
