table_id,direct_dependency,outer_dependency,outer_transitive_dependency
refs_admin.countries,TRUE,TRUE,FALSE
refs_admin.cpc_history,FALSE,FALSE,TRUE
refs_admin.cpc_to_flags,FALSE,FALSE,TRUE
refs_admin.cpcs,FALSE,FALSE,TRUE
refs_admin.entities,FALSE,FALSE,TRUE
refs_admin.fleet_to_flags_and_fisheries,FALSE,FALSE,TRUE
refs_admin.fleets,FALSE,FALSE,TRUE
refs_admin.ports,TRUE,TRUE,FALSE
refs_admin.species_reporting_requirements,FALSE,FALSE,TRUE
refs_biology.bait_conditions,TRUE,TRUE,FALSE
refs_biology.fates,TRUE,TRUE,FALSE
refs_biology.gear_interactions,TRUE,TRUE,FALSE
refs_biology.handling_methods,TRUE,TRUE,FALSE
refs_biology.incidental_captures_conditions,TRUE,TRUE,FALSE
refs_biology.measurement_tools,TRUE,TRUE,FALSE
refs_biology.measurements,TRUE,TRUE,FALSE
refs_biology.recommended_measurements,FALSE,FALSE,TRUE
refs_biology.sampling_methods_for_catch_estimation,TRUE,TRUE,FALSE
refs_biology.sampling_methods_for_sampling_collections,TRUE,TRUE,FALSE
refs_biology.sampling_protocols,TRUE,TRUE,FALSE
refs_biology.scars,TRUE,TRUE,FALSE
refs_biology.sex,TRUE,TRUE,FALSE
refs_biology.species,TRUE,TRUE,FALSE
refs_biology.species_aggregates,FALSE,FALSE,TRUE
refs_biology.species_categories,FALSE,FALSE,TRUE
refs_biology.species_groups,FALSE,FALSE,TRUE
refs_biology.tag_types,TRUE,TRUE,FALSE
refs_biology.types_of_fate,FALSE,FALSE,TRUE
refs_biology.types_of_measurement,FALSE,FALSE,TRUE
refs_data.logical_responses,TRUE,TRUE,FALSE
refs_fishery.bait_fishing_methods,TRUE,TRUE,FALSE
refs_fishery.branchline_storages,TRUE,TRUE,FALSE
refs_fishery.dehooker_types,TRUE,TRUE,FALSE
refs_fishery.fad_raft_designs,TRUE,TRUE,FALSE
refs_fishery.fad_tail_designs,TRUE,TRUE,FALSE
refs_fishery.fish_preservation_methods,TRUE,TRUE,FALSE
refs_fishery.fish_storage_types,TRUE,TRUE,FALSE
refs_fishery.fisheries,FALSE,FALSE,TRUE
refs_fishery.float_types,TRUE,TRUE,FALSE
refs_fishery.hook_and_terminal_devices,TRUE,TRUE,FALSE
refs_fishery.hull_material_types,TRUE,TRUE,FALSE
refs_fishery.light_colours,TRUE,TRUE,FALSE
refs_fishery.light_types,TRUE,TRUE,FALSE
refs_fishery.line_material_types,TRUE,TRUE,FALSE
refs_fishery.mitigation_devices,TRUE,TRUE,FALSE
refs_fishery.net_colours,TRUE,TRUE,FALSE
refs_fishery.net_conditions,TRUE,TRUE,FALSE
refs_fishery.net_configurations,TRUE,TRUE,FALSE
refs_fishery.net_deploy_depths,TRUE,TRUE,FALSE
refs_fishery.net_setting_strategies,TRUE,TRUE,FALSE
refs_fishery.reasons_days_lost,TRUE,TRUE,FALSE
refs_fishery.school_detection_methods,TRUE,TRUE,FALSE
refs_fishery.school_sighting_cues,TRUE,TRUE,FALSE
refs_fishery.school_type_categories,FALSE,FALSE,TRUE
refs_fishery.sinker_material_types,TRUE,TRUE,FALSE
refs_fishery.surface_fishery_activities,TRUE,TRUE,FALSE
refs_fishery.vessel_types,TRUE,TRUE,FALSE
refs_fishery.waste_categories,TRUE,TRUE,FALSE
refs_fishery.waste_disposal_methods,TRUE,TRUE,FALSE
refs_fishery_config.areas_of_operation,FALSE,FALSE,TRUE
refs_fishery_config.fishery_categories,FALSE,FALSE,TRUE
refs_fishery_config.fishery_purposes,FALSE,FALSE,TRUE
refs_fishery_config.fishery_types,FALSE,FALSE,TRUE
refs_fishery_config.fishing_modes,FALSE,FALSE,TRUE
refs_fishery_config.gear_configurations,FALSE,FALSE,TRUE
refs_fishery_config.gear_fishery_type_to_configuration,FALSE,FALSE,TRUE
refs_fishery_config.gear_fishery_type_to_fishing_mode,FALSE,FALSE,TRUE
refs_fishery_config.gear_groups,FALSE,FALSE,TRUE
