schema,table,foreign_key,columns,target_schema,target_table,target_columns
ros_meta,contact,fk_ros_meta_nationality_code_contact,nationality_code,refs_admin,countries,code
ros_meta,focal_point,fk_ros_meta_contact_id_focal_point,contact_id,ros_meta,contact,id
ros_meta,observer,fk_ros_meta_contact_id_observer,contact_id,ros_meta,contact,id
ros_meta,observer_accreditation,fk_ros_meta_observer_accreditation_accredited,accredited_by,refs_admin,countries,code
ros_meta,observer_accreditation,fk_ros_meta_observer_accreditation_observer_id,observer_id,ros_meta,observer,contact_id
ros_meta,observer_identifier_mapping,fk_ros_meta_observer_identifier_mapping,iotc_observer_identifier,ros_meta,observer,iotc_observer_identifier
ros_meta,vessel,fk_ros_meta_flag_code_vessel,flag_code,refs_admin,countries,code
ros_meta,vessel,fk_ros_meta_main_fishing_gear_code_vessel,main_fishing_gear_code,refs_fishery_config,gears,code
ros_meta,vessel,fk_ros_meta_port_code_vessel,port_code,refs_admin,ports,code
ros_meta,vessel_licensed_target_species,fk_ros_meta_vessel_licensed_target_species_species_code,licensed_target_species_code,refs_biology,species,code
ros_meta,vessel_licensed_target_species,fk_ros_meta_vessel_licensed_target_species_vessel_id,vessel_id,ros_meta,vessel,id
ros_common,additional_details_on_non_target_species,fk_ros_common_condition_at_capture_code_additional_details_on_n,condition_at_capture_code,refs_biology,incidental_captures_conditions,code
ros_common,additional_details_on_non_target_species,fk_ros_common_condition_at_release_code_additional_details_on_n,condition_at_release_code,refs_biology,incidental_captures_conditions,code
ros_common,biometric_information,fk_ros_c_biometric_i_alternative_measured_length_measuring_tool,alternative_measured_length_length_measuring_tool_code|alternative_measured_length_type_of_measurement_code,refs_biology,measurement_tools,code|type_of_measurement_code
ros_common,biometric_information,fk_ros_c_biometric_information_alternative_measured_length_type,alternative_measured_length_measured_length_type_code|alternative_measured_length_type_of_measurement_code,refs_biology,measurements,code|type_of_measurement_code
ros_common,biometric_information,fk_ros_c_biometric_information_measured_length_measuring_tool,measured_length_length_measuring_tool_code|measured_length_type_of_measurement_code,refs_biology,measurement_tools,code|type_of_measurement_code
ros_common,biometric_information,fk_ros_c_biometric_information_measured_length_type,measured_length_measured_length_type_code|measured_length_type_of_measurement_code,refs_biology,measurements,code|type_of_measurement_code
ros_common,biometric_information,fk_ros_common_bio_collection_sampling_method_code_biometric_inf,bio_collection_sampling_method_code,refs_biology,sampling_methods_for_sampling_collections,code
ros_common,biometric_information,fk_ros_common_biometric_information_alternative_measured_length,alternative_measured_length_straight,refs_data,logical_responses,code
ros_common,biometric_information,fk_ros_common_biometric_information_measured_length_straight,measured_length_straight,refs_data,logical_responses,code
ros_common,biometric_information,fk_ros_common_sex_code_biometric_information,sex_code,refs_biology,sex,code
ros_common,depredation_details,fk_ros_common_depredation_source_code_depredation_details,depredation_source_code,refs_biology,scars,code
ros_common,depredation_details,fk_ros_common_predator_observed_code_depredation_details,predator_observed_code,refs_biology,species,code
ros_common,observation_dataset,fk_observer_data_submitter_id,submitter_id,ros_meta,focal_point,contact_id
ros_common,observation_dataset,fk_ros_common_observer_data_reporting_country_code,reporting_country_code,refs_admin,countries,code
ros_common,observation_dataset,fk_ros_common_observer_data_vessel_type_code,vessel_type_code,refs_fishery,vessel_types,code
ros_common,trip,fk_ros_common_trip_observer_data,observation_dataset_id,ros_common,observation_dataset,id
ros_common,trip_daily_activities,fk_common_trip_daily_activities_trip,trip_id,ros_common,trip,id
ros_common,trip_daily_activity_details,fk_common_trip_daily_activity_details_trip_daily_activity_id,trip_daily_activity_id,ros_common,trip_daily_activities,id
ros_common,trip_daily_activity_details,fk_ros_common_trip_daily_activity_details_activity_code,activity_code,refs_fishery,surface_fishery_activities,code
ros_common,trip_observer,fk_ros_common_trip_observer_disembarkation_country_code,disembarkation_country_code,refs_admin,countries,code
ros_common,trip_observer,fk_ros_common_trip_observer_disembarkation_port_code,disembarkation_port_code,refs_admin,ports,code
ros_common,trip_observer,fk_ros_common_trip_observer_embarkation_country_code,embarkation_country_code,refs_admin,countries,code
ros_common,trip_observer,fk_ros_common_trip_observer_embarkation_port_code,embarkation_port_code,refs_admin,ports,code
ros_common,trip_observer,fk_trip_observer_observer_id,observer_id,ros_meta,observer,contact_id
ros_common,trip_observer,fk_trip_observer_trip_id,trip_id,ros_common,trip,id
ros_common,trip_reasons_for_days_lost,fk_reasons_for_days_lost_inoperativity_reason,inoperativity_reason,refs_fishery,reasons_days_lost,code
ros_common,trip_reasons_for_days_lost,fk_ros_common_reasons_for_days_lost_trip_id,trip_id,ros_common,trip,id
ros_common,trip_vessel,fk_ros_common_trip_vessel_ais,ais,refs_data,logical_responses,code
