schema,table,primary_key_columns
ros_meta,contact,id
ros_meta,focal_point,contact_id
ros_meta,observer,contact_id
ros_meta,observer_identifier_mapping,legacy_iotc_observer_identifier
ros_meta,vessel,id
ros_common,additional_details_on_non_target_species,id
ros_common,biometric_information,id
ros_common,depredation_details,id
ros_common,observation_dataset,id
ros_common,trip,id
ros_common,trip_daily_activities,id
ros_common,trip_daily_activity_details,id
ros_common,trip_observer,trip_id
ros_common,trip_reasons_for_days_lost,id
ros_common,trip_vessel,trip_id
ros_common,trip_vessel_fish_preservation_method,trip_id|fish_preservation_method_code
ros_common,trip_vessel_fish_storage_type,trip_id|fish_storage_type_code
ros_common,trip_waste_managements,id
ros_ps,additional_catch_details_on_ssi,id
ros_ps,catch_details,id
ros_ps,cetaceans_whale_shark_sightings,id
ros_ps,fishing_events,id
ros_ps,gear_specifications,id
ros_ps,object_details,id
ros_ps,setting_operations,id
ros_ps,specimens,id
ros_ps,tag_details,id
ros_ll,additional_catch_details_on_ssi,id
ros_ll,baits_by_conditions,id
ros_ll,biteoffs_by_branchlines_set,id
ros_ll,branchline_configurations,id
ros_ll,branchline_configurations_storage,branchline_configuration_id|branchline_storage_code
ros_ll,branchline_sections,id
ros_ll,branchlines_set,id
ros_ll,catch_details,id
ros_ll,fishing_events,id
ros_ll,floatlines,id
ros_ll,gear_specifications,id
ros_ll,hauling_operations,id
ros_ll,hooks_by_type,id
ros_ll,leader_set,id
ros_ll,lights_by_type_and_colour,id
ros_ll,mitigation_measures,id
ros_ll,setting_operations,id
ros_ll,specimens,id
ros_ll,tag_details,id
ros_ll,tori_line_details,id
ros_pl,additional_catch_details_on_ssi,id
ros_pl,bait_fishing_events,id
ros_pl,bait_fishing_operations,id
ros_pl,baits_and_conditions,id
ros_pl,catch_details,id
ros_pl,gear_specifications,id
ros_pl,lures_or_jiggers_by_type,id
ros_pl,object_details,id
ros_pl,specimens,id
ros_pl,tag_details,id
ros_pl,tuna_fishing_event_pl_catch_detail,tuna_fishing_event_id|catch_detail_id
ros_pl,tuna_fishing_events,id
ros_pl,tuna_fishing_operations,id
ros_gn,additional_catch_details_on_ssi,id
ros_gn,catch_details,id
ros_gn,fishing_events,id
ros_gn,gear_specifications,id
ros_gn,gillnet_configuration,id
ros_gn,hauling_operations,id
ros_gn,mitigation_measures,id
ros_gn,setting_operations,id
ros_gn,sinkers_by_type,id
ros_gn,specimens,id
ros_gn,tag_details,id
refs_admin,countries,code
refs_admin,cpc_history,cpc_code|contracting_party|acceptance_date
refs_admin,cpc_to_flags,cpc_code|flag_code
refs_admin,cpcs,code
refs_admin,entities,code
refs_admin,fleet_to_flags_and_fisheries,id
refs_admin,fleets,code
refs_admin,ports,code
refs_admin,species_reporting_requirements,gear_group_code|species_code
refs_biology,bait_conditions,code
refs_biology,fates,type_of_fate_code|code
refs_biology,gear_interactions,code
refs_biology,handling_methods,code
refs_biology,incidental_captures_conditions,code
refs_biology,measurement_tools,type_of_measurement_code|code
refs_biology,measurements,type_of_measurement_code|code
refs_biology,recommended_measurements,species_code|type_of_measurement_code|measurement_code
refs_biology,sampling_methods_for_catch_estimation,code
refs_biology,sampling_methods_for_sampling_collections,code
refs_biology,sampling_protocols,code
refs_biology,scars,code
refs_biology,sex,code
refs_biology,species,code
refs_biology,species_aggregates,species_aggregate_code|species_code
refs_biology,species_categories,code
refs_biology,species_groups,code
refs_biology,tag_types,code
refs_biology,types_of_fate,code
refs_biology,types_of_measurement,code
refs_data,datasets,code
refs_data,logical_responses,code
refs_data,processings,dataset_code|code
refs_data,sources,dataset_code|code
refs_fishery,bait_fishing_methods,code
refs_fishery,branchline_storages,code
refs_fishery,dehooker_types,code
refs_fishery,fad_raft_designs,code
refs_fishery,fad_tail_designs,code
refs_fishery,fish_preservation_methods,code
refs_fishery,fish_processing_types,code
refs_fishery,fish_storage_types,code
refs_fishery,fisheries,code
refs_fishery,float_types,code
refs_fishery,hook_and_terminal_devices,code
refs_fishery,hull_material_types,code
refs_fishery,light_colours,code
refs_fishery,light_types,code
refs_fishery,line_material_types,code
refs_fishery,mitigation_devices,code
refs_fishery,net_colours,code
refs_fishery,net_conditions,code
refs_fishery,net_configurations,code
refs_fishery,net_deploy_depths,code
refs_fishery,net_setting_strategies,code
refs_fishery,reasons_days_lost,code
refs_fishery,school_detection_methods,code
refs_fishery,school_sighting_cues,code
refs_fishery,school_type_categories,code
refs_fishery,sinker_material_types,code
refs_fishery,surface_fishery_activities,code
refs_fishery,vessel_types,code
refs_fishery,waste_categories,code
refs_fishery,waste_disposal_methods,code
refs_fishery_config,areas_of_operation,code
refs_fishery_config,fishery_categories,code
refs_fishery_config,fishery_purposes,code
refs_fishery_config,fishery_types,code
refs_fishery_config,fishing_modes,code
refs_fishery_config,gear_configurations,code
refs_fishery_config,gear_fishery_type_to_configuration,gear_code|fishery_type_code|gear_configuration_code
refs_fishery_config,gear_fishery_type_to_fishing_mode,gear_code|fishery_type_code|fishing_mode_code
refs_fishery_config,gear_groups,code
refs_fishery_config,gear_to_fishery_type,gear_code|fishery_type_code
refs_fishery_config,gear_to_target_species,gear_code|target_species_code
refs_fishery_config,gears,code
refs_fishery_config,loa_classes,code
refs_fishery_config,target_species,code
refs_gis,area_intersections,source_code|target_code
refs_gis,area_types,code
refs_gis,areas,code
refs_meta,codelists_versions,cl_schema|cl_name
