codelist,codelist_url
refs_admin.countries,https://data.iotc.org/reference/latest/domain/admin/#countries
refs_admin.cpcs,https://data.iotc.org/reference/latest/domain/admin/#CPCs
refs_admin.entities,https://data.iotc.org/reference/latest/domain/admin/#entities
refs_admin.fleets,https://data.iotc.org/reference/latest/domain/admin/#fleets
refs_admin.io_main_areas,https://data.iotc.org/reference/latest/domain/admin/#IOareasMain
refs_admin.ports,https://data.iotc.org/reference/latest/domain/admin/#Ports
refs_biology.bait_conditions,https://data.iotc.org/reference/latest/domain/biology/#baitConditions
refs_biology.bait_types,https://data.iotc.org/reference/latest/domain/biology/#baitTypes
refs_biology.biological_materials,https://data.iotc.org/reference/latest/domain/biology/#biologicalMaterials
refs_biology.depredation_sources,https://data.iotc.org/reference/latest/domain/biology/#depredationSources
refs_biology.fates,https://data.iotc.org/reference/latest/domain/biology/#fates
refs_biology.fates.type_of_fate_code,https://data.iotc.org/reference/latest/domain/biology/#typesOfFate
refs_biology.gear_interactions,https://data.iotc.org/reference/latest/domain/biology/#gearInteractions
refs_biology.handling_methods,https://data.iotc.org/reference/latest/domain/biology/#handlingMethods
refs_biology.individual_conditions,https://data.iotc.org/reference/latest/domain/biology/#individualConditions
refs_biology.incidental_captures_conditions,https://data.iotc.org/reference/latest/domain/biology/#individualConditions
refs_biology.measurements,https://data.iotc.org/reference/latest/domain/biology/#allMeasurements
refs_biology.length_measurement_tools,https://data.iotc.org/reference/latest/domain/biology/#lengthMeasurementTools
refs_biology.maturity_stages,https://data.iotc.org/reference/latest/domain/biology/#maturityStages
refs_biology.measurement_tools,https://data.iotc.org/reference/latest/domain/biology/#allMeasurementTools
refs_biology.measurement_tools.type_of_measurement_code,https://data.iotc.org/reference/latest/domain/biology/#typesOfMeasurement
refs_biology.sampling_methods_for_catch_estimation,https://data.iotc.org/reference/latest/domain/biology/#samplingMethodsForCatchEstimation
refs_biology.sampling_methods_for_sampling_collections,https://data.iotc.org/reference/latest/domain/biology/#samplingMethodsForSamplingCollection
refs_biology.sampling_periods,https://data.iotc.org/reference/latest/domain/biology/#samplingPeriods
refs_biology.sampling_protocols,https://data.iotc.org/reference/latest/domain/biology/#samplingProtocols
refs_biology.scars,https://data.iotc.org/reference/latest/domain/biology/#scars
refs_biology.sex,https://data.iotc.org/reference/latest/domain/biology/#sex
refs_biology.species,https://data.iotc.org/reference/latest/domain/biology/#allSpecies
refs_biology.species_baits,https://data.iotc.org/reference/latest/domain/biology/#baits
refs_biology.species_billfish,https://data.iotc.org/reference/latest/domain/biology/#billfish
